"","followup_fallstudyhours","followup_getwritinghelp","followup_metwithinstructor","followup_metwithfreetutor","followup_imptodowellatuoft","followup_depressed","followup_stressed","fathers_education","mothers_education","fall_meangrade_year1","exp_gradschl","agreeableness2","agreeableness","extraversion2","extraversion","study_habit"
"142",3,4,5,2,4,2,2,1,2,65.3333358764648,0,0.831086695194244,1,0.604456007480621,1,11
"143",8,4,0,0,6,2,2,7,7,72,1,0.831086695194244,1,0.604456007480621,1,4
"144",2,2,2,1,7,3,2,8,7,81.5,1,0.445675253868103,1,-1.79234635829926,0,5
"145",35,5,2,8,7,2,2,7,5,76.5,0,-0.325147598981857,0,0.284882336854935,1,15
"146",2,5,1,1,5,1,1,7,6,75.25,1,-0.132441878318787,0,-1.63255953788757,0,7
"147",9,5,2,5,7,2,3,7,6,75.5,1,1.21649813652039,1,-1.47277271747589,0,12
"148",57,6,0,2,4,1,2,6,5,77.6666641235352,1,-1.28867614269257,0,0.444669157266617,1,8
"149",21,3,8,8,7,1,3,1,5,71,1,-0.132441878318787,0,-1.15319907665253,0,19
"150",21,6,2,8,7,2,2,0,5,59,1,0.638380944728851,1,2.04253745079041,1,16
"151",3,3,2,8,7,2,2,6,4,63,1,-0.132441878318787,0,1.2436032295227,1,13
"152",4,2,0,0,6,1,2,1,2,71.3333358764648,0,-0.710559010505676,0,1.08381640911102,1,2
"153",15,3,2,2,5,2,3,0,0,64.3333358764648,0,1.02379238605499,1,-0.194478139281273,0,7
"154",9,4,2,1,4,2,2,6,6,45,1,-0.517853319644928,0,0.125095501542091,1,7
"155",4,5,0,0,6,1,3,2,2,80,1,0.0602638274431229,1,0.924029648303986,1,5
"156",4,5,1,0,7,1,2,6,6,77,1,2.18002653121948,1,0.764242827892303,1,6
"157",5,6,1,0,7,0,3,5,5,70,1,-2.63761615753174,0,1.72296380996704,1,7
"158",8,6,0,0,4,3,2,6,6,55.3333320617676,1,-0.325147598981857,0,0.764242827892303,1,6
"159",3,3,0,2,3,2,1,8,0,58.5,0,-0.517853319644928,0,0.284882336854935,1,5
"160",4,1,0,0,6,3,2,7,6,84.75,1,-0.710559010505676,0,-0.514051795005798,0,1
"161",3,3,2,2,7,3,3,4,6,71,1,-0.517853319644928,0,1.88275063037872,1,7
"162",14,2,5,2,7,1,3,7,6,76,1,-0.132441878318787,0,1.56317687034607,1,9
"163",16,5,5,5,6,1,2,2,2,61.5,0,-0.710559010505676,0,-0.194478139281273,0,15
"164",4,5,2,0,6,2,3,6,4,73.5,1,1.21649813652039,1,-1.31298589706421,0,7
"165",4,4,5,5,6,2,3,8,5,59,1,-0.517853319644928,0,0.444669157266617,1,14
"166",4,5,0,1,5,2,1,5,5,29,0,-0.903264701366425,0,-0.0346913151443005,0,6
"167",8,4,2,1,7,2,1,7,7,66,0,0.638380944728851,1,0.284882336854935,1,7
"168",10,4,2,2,7,3,3,5,2,78,0,-0.903264701366425,0,1.08381640911102,1,8
"169",2,3,2,2,2,1,2,7,2,77.6666641235352,0,0.252969533205032,1,-0.833625435829163,0,7
"170",2,2,0,0,3,3,2,2,3,80.5,1,-0.517853319644928,0,0.604456007480621,1,2
"171",4,5,5,2,7,0,1,6,1,63,1,-0.132441878318787,0,-0.354264974594116,0,12
"172",9,1,2,5,5,2,3,6,5,79.3333358764648,0,-0.132441878318787,0,0.764242827892303,1,8
"173",7,5,2,8,7,1,3,8,5,70.5,0,-1.48138189315796,0,2.2023241519928,1,15
"174",2,4,2,2,6,1,2,7,6,61,1,0.638380944728851,1,-0.833625435829163,0,8
"175",25,4,2,0,5,1,1,4,6,92.1999969482422,1,0.445675253868103,1,-1.31298589706421,0,6
